id112,Kunto Aji - Pilu Membiru
id113,Afgan Syahreza - Sadis
id114,Afgan Syahreza - Panah Asmara
id115,Tangga - Cinta Begini
id116,Payung Teduh - Untuk Perempuan yang Sedang Dalam Pelukan
id117,Payung Teduh - Berdua Saja
id118,Fourtwnty - Hitam Putih
id119,Fourtwnty - Fana Merah Jambu
id120,Banda Neira - Hujan di Mimpi
id121,Banda Neira - Senja di Jakarta
id122,Barasuara - Mengunci Ingatan
id123,Barasuara - Api & Lentera
id124,Barasuara - Sendu Melagu
id125,Efek Rumah Kaca - Desember
id126,Danilla Riyadi - Senja di Ambang Pilu
id127,Naif - Air dan Api
id128,Tompi - Menghujam Jantungku
id129,Glenn Fredly - Cukup Sudah
id130,Ferdinand - Sudah
id131,Dewa19 - Selimut Hati
id132,RAN - Salamku Untuk Kekasihmu Yang Baru
id133,RAN - Ratu Lebah
id134,Glenn Fredly - Januari
id135,Glenn Fredly - Kasih Putih
id136,Glenn Fredly - Kisah Romantis
id137,The Groove - Dahulu
id138,Nidji - Bila Aku Jatuh Cinta
id139,Tompi - Selalu Denganmu
id140,Soulful Corp - Ketika Kau Menyapa
id141,Maliq & D'Essentials - Menari
id142,Potert - Salah
id143,RAN - Kulakukan Semua Untukmu
id144,Once Mekel - Kucinta Kau Apa Adanya
id145,Ahmad Dhani - Aku Cinta Kau Dan Dia
id146,Sheila on 7 - Yang Terlewatkan
id147,Ari Lasso - Cinta Terakhir 
id148,Melly Goeslaw - Gantung
id149,Once Mekel - Dealova
id150,Gascaro Ramondo - Lamun Ombak
id151,Nidji - Rahasia Hati
id152,Gigi - 11 Januari
id153,Danilla Riyadi - Ada di Sana
id154,RAN - Begitu Saja
id155,Dewa19 - Kangen
id156,Payung Teduh - Resah
id157,Dewa19 - Satu
id158,Dewa19 - Risalah Hati
id159,Pijar - Antologi Rasa
id160,Pijar - Perspektif Ketiga
id161,Maudy Ayunda - Tahu Diri
id162,Maudy Ayunda - Cinta Datang Terlambat
id163,Maudy Ayunda - Perahu Kertas
id164,Reza Artamevia - Biar Menjadi Kenangan
id165,Tulus ft Glenn Fredly - Adu Rayu
id166,Maliq & D'Essentials - Dia
id167,Maliq & D'Essentials - Kangen
id168,Sal Priadi - Ikat Aku Di Tulang Belikatmu
id169,Vidi Aldiano - Nuansa Bening
id170,Maliq & D'Essentials - Inilah Kita
id171,Kahitna - Soulmate
id172,Glenn Fredly - Terserah
id173,Marcello Tahitoe - Pergi Untuk Kembali
id174,The Groove - Khayalan
id175,Reza Artamevia - Berharap Tak Berpisah
id176,Dewa19 - Cinta 'kan Membawamu Kembali
id177,Lobow - Kau Cantik Hari Ini
id178,Tangga - Jurus Terjitu
id179,Drive - Melepasmu
id180,d'Masiv - Apa Salahku
id181,d'Masiv - Pergilah Kasih
id182,Pee Wee Gaskins - Amuk Redam
id183,Ahmad Abdul - Bukan Cintaku
id184,Anji - Dia
id185,Jikustik - Setia
id186,Nadin - Rumpang
id187,Hivi - Indahnya Dirimu
id188,Payung Teduh - Sebuah Lagu
